plate,well,Y89,Rh103,Pd105,Pd106,Pd108,Pd110,In113,In115,Bi209,Pt194,Pt198
4,C08,0,0,1,0,0,0,1,1,1,0,1
4,C09,0,1,0,0,0,1,1,1,0,0,1
4,C10,1,0,0,1,0,1,0,1,0,0,1
4,C11,0,0,0,0,1,1,1,1,0,0,1
4,D02,1,1,1,0,0,0,0,1,0,0,1
4,D03,0,0,1,0,1,0,1,1,0,0,1
4,D04,1,0,0,0,0,1,0,1,1,0,1
4,D05,1,0,1,0,1,0,0,1,0,0,1
4,D06,0,0,1,0,1,1,1,0,0,0,1
4,D07,0,0,1,0,1,1,0,1,0,0,1
4,D08,1,0,1,0,0,0,1,1,0,0,1
4,D09,0,0,0,1,1,1,0,0,1,0,1
4,D10,0,0,0,1,1,0,0,1,1,0,1
4,D11,0,1,1,0,1,0,0,0,1,0,1
4,E02,0,1,1,1,0,0,0,1,0,0,1
4,E03,0,1,1,0,0,0,1,1,0,0,1
4,E04,0,1,1,1,0,1,0,0,0,0,1
4,E05,0,0,1,0,1,1,0,0,1,0,1
4,E06,0,0,1,1,0,0,1,1,0,0,1
4,E07,0,1,1,1,0,0,0,0,1,0,1
4,E08,1,0,1,0,1,1,0,0,0,0,1
4,E09,1,0,1,0,1,0,1,0,0,0,1
4,E10,0,0,1,0,0,1,1,1,0,0,1
4,E11,1,0,0,1,1,1,0,0,0,0,1
4,F02,0,1,0,0,1,1,0,0,1,0,1
4,F03,1,1,0,1,0,0,1,0,0,0,1
4,F04,0,1,0,0,0,1,0,1,1,0,1
4,F05,0,0,1,1,1,0,0,1,0,0,1
4,F06,0,1,0,1,0,1,0,0,1,0,1
4,F07,0,0,0,1,1,0,1,1,0,0,1
4,F08,1,0,0,1,0,1,0,0,1,0,1
4,F09,0,1,1,0,0,1,0,0,1,0,1
4,F10,0,1,0,1,0,0,1,0,1,0,1
4,F11,1,1,0,0,1,0,0,0,1,0,1
4,G02,1,0,1,0,0,0,0,1,1,0,1
4,G03,1,1,0,1,1,0,0,0,0,0,1
4,G04,0,0,0,1,0,1,0,1,1,0,1
4,G05,0,0,0,1,0,1,1,0,1,0,1
4,G06,0,1,1,0,0,1,1,0,0,0,1
4,G07,0,0,0,0,1,0,1,1,1,0,1
4,G08,1,0,0,0,1,0,0,1,1,0,1
4,G09,1,1,0,0,1,0,0,1,0,0,1
4,G10,1,1,0,0,1,0,1,0,0,0,1
4,G11,0,1,0,1,1,0,1,0,0,0,1
