acquisition_id,image_id,image_number,crop_number,acquisition_mcd_acid,site_mcd_panoramaid,slideac_name
34,2219,1956,34,5,1,20190611_p165_slide33_ac1_vz
80,2238,675,18,11,3,20190518_p165_slide39_ac1_vz
80,2239,676,19,11,3,20190518_p165_slide39_ac1_vz
55,2245,1822,26,3,1,20190610_p161_slide17_ac1_vz
55,2247,1824,28,3,1,20190610_p161_slide17_ac1_vz
397,2276,1093,1,5,1,20190524_p165_slide80_ac1_vz
400,2279,1096,1,1,1,20190525_p165_slide45_ac1_vz
320,2285,282,15,4,1,20190516_p161_slide5_ac1_vz
320,2291,288,6,4,1,20190516_p161_slide5_ac1_vz
187,2307,2244,28,19,1,20190617_p165_slide56_ac1_vz
406,2319,2256,1,9,1,20190617_p165_slide56_ac1_vz
406,2320,2257,2,9,1,20190617_p165_slide56_ac1_vz
19,2326,883,2,2,1,20190523_p165_slide36_ac1_vz
19,2330,887,23,2,1,20190523_p165_slide36_ac1_vz
19,2332,889,25,2,1,20190523_p165_slide36_ac1_vz
19,2336,893,29,2,1,20190523_p165_slide36_ac1_vz
19,2338,895,30,2,1,20190523_p165_slide36_ac1_vz
341,2354,1031,18,3,1,20190524_p165_slide24_ac1_vz
341,2357,1034,20,3,1,20190524_p165_slide24_ac1_vz
311,2364,1121,31,10,1,20190525_p165_slide45_ac1_vz
311,2374,1131,7,10,1,20190525_p165_slide45_ac1_vz
415,2402,1399,1,6,1,20190607_p165_slide41_ac1_vz
418,2405,2422,1,8,1,20190621_p165_slide44_ac1_vz
420,2415,2432,3,34,2,20190621_p165_slide44_ac1_vz
422,2418,2435,1,36,2,20190621_p165_slide44_ac1_vz
97,2424,2481,8,54,2,20190621_p165_slide44_ac1_vz
97,2425,2482,9,54,2,20190621_p165_slide44_ac1_vz
426,2428,2485,3,21,3,20190621_p165_slide44_ac1_vz
429,2431,2488,1,24,3,20190621_p165_slide44_ac1_vz
434,2437,2494,1,29,3,20190621_p165_slide44_ac1_vz
61,2444,1241,12,3,1,20190606_p165_slide27_ac1_vz
61,2447,1244,15,3,1,20190606_p165_slide27_ac1_vz
61,2448,1245,16,3,1,20190606_p165_slide27_ac1_vz
61,2452,1249,2,3,1,20190606_p165_slide27_ac1_vz
61,2455,1252,22,3,1,20190606_p165_slide27_ac1_vz
61,2457,1254,24,3,1,20190606_p165_slide27_ac1_vz
61,2459,1256,26,3,1,20190606_p165_slide27_ac1_vz
61,2462,1259,29,3,1,20190606_p165_slide27_ac1_vz
61,2463,1260,3,3,1,20190606_p165_slide27_ac1_vz
245,2464,581,16,5,1,20190518_p165_slide39_ac1_vz
245,2465,582,17,5,1,20190518_p165_slide39_ac1_vz
245,2467,584,19,5,1,20190518_p165_slide39_ac1_vz
245,2468,585,2,5,1,20190518_p165_slide39_ac1_vz
245,2469,586,20,5,1,20190518_p165_slide39_ac1_vz
245,2470,587,21,5,1,20190518_p165_slide39_ac1_vz
245,2471,588,22,5,1,20190518_p165_slide39_ac1_vz
245,2472,589,23,5,1,20190518_p165_slide39_ac1_vz
245,2473,590,24,5,1,20190518_p165_slide39_ac1_vz
245,2474,591,25,5,1,20190518_p165_slide39_ac1_vz
245,2475,592,26,5,1,20190518_p165_slide39_ac1_vz
245,2476,593,27,5,1,20190518_p165_slide39_ac1_vz
245,2477,594,28,5,1,20190518_p165_slide39_ac1_vz
245,2478,595,29,5,1,20190518_p165_slide39_ac1_vz
245,2479,596,3,5,1,20190518_p165_slide39_ac1_vz
245,2480,597,30,5,1,20190518_p165_slide39_ac1_vz
245,2481,598,31,5,1,20190518_p165_slide39_ac1_vz
245,2482,599,32,5,1,20190518_p165_slide39_ac1_vz
206,2484,861,29,3,2,20190523_p161_slide11_ac1_vz
206,2492,869,7,3,2,20190523_p161_slide11_ac1_vz
19,2496,873,10,2,1,20190523_p165_slide36_ac1_vz
19,2501,878,15,2,1,20190523_p165_slide36_ac1_vz
436,2505,162,1,3,1,20190514_p161_slide38_ac1_vz
438,2510,167,1,5,1,20190514_p161_slide38_ac1_vz
439,2511,168,1,6,1,20190514_p161_slide38_ac1_vz
440,2512,169,1,7,1,20190514_p161_slide38_ac1_vz
201,2524,1621,32,15,3,20190607_p165_slide46_ac1_vz
201,2525,1622,33,15,3,20190607_p165_slide46_ac1_vz
201,2526,1623,34,15,3,20190607_p165_slide46_ac1_vz
201,2530,1627,5,15,3,20190607_p165_slide46_ac1_vz
446,2535,1632,1,16,3,20190607_p165_slide46_ac1_vz
450,2541,1638,1,8,3,20190607_p165_slide46_ac1_vz
