sampleblock,slide_date,storage_box,anyeverused?,slide_number,nsites,n_cuts_between,image_prefreeze,slide_position,to be used? indicate site number,nsites_stained,anyeverused?,anyused?,to be used? indicate site number,stain_group,idx,imaged?,imgaging time predicted,Imaging time actual,slide_number,slidescan_fluo_nr,slidescan_fluo_name,,,
p165,20190219,VZBox19,1,30,3,0,3629, +-+,3,1,1,1,3,1,28,0,,7.5,30,35,v.zanotelli_20190509_p165_035,,,
p165,20190219,VZBox19,0,31,3,0,3635,--+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,32,3,0,3641,-+-,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,33,3,0,3647, +++,2,1,1,1,2,2,29,0,,7.5,33,55,v.zanotelli_20190509_p165_055,,,
p165,20190219,VZBox19,0,34,3,0,3653, ++-,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,35,3,0,3659, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,36,3,0,3669, -++,2,1,1,1,2,3,30,0,,7.5,36,50,v.zanotelli_20190509_p165_050,,,
p165,20190219,VZBox19,0,37,3,0,3675, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,38,3,0,3681,---,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,39,3,0,3689,-++,"1,2,3",3,1,1,"1,2,3",1,31,0,,8,39,42,v.zanotelli_20190509_p165_042,,,
p165,20190219,VZBox19,1,40,3,0,3695, +++,"1,2,3",3,1,1,"1,2,3",2,32,0,,7.333333333,40,31,v.zanotelli_20190509_p165_031,,,
p165,20190219,VZBox19,1,41,3,0,3701, +++,"1,2,3",3,1,1,"1,2,3,",3,33,0,,7.333333333,41,47,v.zanotelli_20190509_p165_047,,,
p165,20190219,VZBox19,1,42,3,0,3707, +++,"1,2,3",3,1,1,"1,2,3",1,34,0,7.5,x,42,56,v.zanotelli_20190509_p165_056,,,
p165,20190219,VZBox19,1,43,3,0,3713, +++,"1,2,3",3,1,1,"1,2,3",2,35,0,,7.5,43,32,v.zanotelli_20190509_p165_032,,,
p165,20190219,VZBox19,1,44,3,0,3719, +++,"1,2,3",3,1,1,"1,2,3",3,36,0,,7,44,48,v.zanotelli_20190509_p165_048,,,
p165,20190219,VZBox19,1,45,3,0,3725, ++-,"1,2,3",3,1,1,"1,2,3",1,37,0,,6.333333333,45,36,v.zanotelli_20190509_p165_036,,,
p165,20190219,VZBox19,1,46,3,0,3731, +++,"1,2,3",3,1,1,"1,2,3",2,38,0,,6.333333333,46,33,v.zanotelli_20190509_p165_033,,,
p165,20190219,VZBox19,0,47,3,0,3737, -+-,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,48,3,0,3743, +++,2,1,1,1,2,3,39,0,6,6,48,49,v.zanotelli_20190509_p165_049,,,
p165,20190219,VZBox19,0,49,3,0,3749, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,50,3,0,3755, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,56,3,0,3761, -++,2,1,1,1,2,1,40,0,6,6,56,39,v.zanotelli_20190509_p165_039,,,
p165,20190219,VZBox19,0,57,3,0,3767, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,58,3,0,3773, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,59,3,0,3779, +++,2,1,1,1,2,2,41,0,,5,59,38,v.zanotelli_20190509_p165_038,,,
p165,20190219,VZBox19,0,60,3,0,3785, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,61,3,0,3791, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,62,3,0,3797, +++,2,1,1,1,2,3,42,0,,3,62,58,v.zanotelli_20190509_p165_058,,,
p165,20190219,VZBox19,0,63,3,0,3803, -++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,64,3,0,3809, ++-,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,65,3,0,3815, +--,1,1,1,1,1,1,43,0,,4.5,65,44,v.zanotelli_20190509_p165_044,,,
p165,20190219,VZBox19,0,66,4,0,3821, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,67,4,0,3833, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,68,3,0,3841, -++,2,1,1,1,2,2,44,0,,4.7,68,37,v.zanotelli_20190509_p165_037,,,
p165,20190219,VZBox19,0,69,3,0,3847, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,70,3,0,3853, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,71,3,0,3859, +++,2,1,1,1,2,3,45,0,,4,71,51,v.zanotelli_20190509_p165_051,,,
p165,20190219,VZBox19,0,72,3,0,3865, --+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,73,3,0,3871, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,74,3,0,3877, +++,2,1,1,1,2,1,46,1,,3.25,74,41,v.zanotelli_20190509_p165_041,,,
p165,20190219,VZBox19,0,75,3,0,3883, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,76,3,0,3889, ++-,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,77,3,0,3895, +-+,1,1,1,1,1,2,47,0,,2,77,60,v.zanotelli_20190509_p165_060,,,
p165,20190219,VZBox19,0,78,3,0,3901, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,79,3,0,3907, +--,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,80,3,0,3913, +++,1,1,1,1,1,3,48,0,,1.5,80,43,v.zanotelli_20190509_p165_043,,,
p165,20190219,VZBox19,0,81,3,0,3919, ++-,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,82,3,0,3925, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,83,3,0,3931, -+-,2,1,1,1,2,1,49,0,,1.1,83,40,v.zanotelli_20190509_p165_040,,,
p165,20190219,VZBox19,0,84,3,0,3937, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,85,3,0,3943, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,86,3,0,3949, ++-,2,1,1,1,2,2,50,0,,1,86,62,v.zanotelli_20190509_p165_062,,,
p165,20190219,VZBox19,0,87,3,0,3955, -++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,88,3,0,3961, -++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,89,3,0,3967, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,90,3,0,3973, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,91,2,,3979, +++,,,0,0,#REF!,,,,,,,,,,,
p173,20190214,VZBox17,,1,3,,3455, --+,,,,,,,,,,,,,,,,
p173,20190214,VZBox17,1,2,3,1,3461, +++,2,1,1,1,2,3,51,0,,,2,68,v.zanotelli_20190509_p173_068,,,
p173,20190214,VZBox17,0,3,3,0,3464, +++,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,4,3,0,3470, -++,3,1,1,1,3,1,52,0,,2.25,4,71,v.zanotelli_20190509_p173_071,,,
p173,20190214,VZBox17,0,5,3,0,3476,"0,0,0",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,6,3,0,3482, +++,2,1,1,1,2,2,53,0,,3,6,70,v.zanotelli_20190509_p173_070,,,
p173,20190214,VZBox17,0,7,3,0,3488, ++0,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,8,3,0,3494, -++,2,1,1,1,2,3,54,0,,3.5,8,69,v.zanotelli_20190509_p173_069,,,
p173,20190214,VZBox17,0,9,3,0,3500, ---,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,10,3,0,3506, -+-,2,1,1,1,2,1,55,0,,,10,73,v.zanotelli_20190509_p173_073,,0.25,
p173,20190214,VZBox17,0,11,3,0,3512, +-+,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,12,3,,3518, 00-,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,13,3,0,3524, +--,1,1,1,1,1,2,56,0,,4.8,13,75,v.zanotelli_20190509_p173_075,,,
p173,20190214,VZBox17,0,14,3,0,3530,"-,0,0",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,15,3,0,3536," -,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,16,3,0,3542," 0,0,-","1,2",2,1,1,"1,2",3,57,0,,,16,63,v.zanotelli_20190509_p173_063,,0.25,
p173,20190214,VZBox17,0,17,3,0,3548," 0,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,18,3,0,3554," -,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,19,3,0,3560," -,-,-",1,1,1,1,1,1,58,0,,5,19,66,v.zanotelli_20190509_p173_066,,,
p173,20190214,VZBox17,0,20,3,0,3566," -,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,21,3,0,3572," -,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,22,3,0,3578," -,-,-",2,1,1,1,2,2,59,0,,,22,76,v.zanotelli_20190509_p173_076,,0.25,
p173,20190214,VZBox17,0,23,3,0,3584," -,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,24,3,0,3590," -,-,-",,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,25,3,0,3596, ---,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,26,3,0,3602, - - -,1,1,1,1,1,3,60,0,,3.5,26,64,v.zanotelli_20190509_p173_064,,,
p173,20190214,VZBox17,0,27,3,0,3608,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,28,3,0,3614,,1,1,1,1,1,1,61,0,,,28,67,v.zanotelli_20190509_p173_067,,,
p173,20190214,VZBox17,0,29,3,0,3620,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,30,3,0,3626,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,31,3,0,3632,,1,1,1,1,1,2,62,0,,2.5,31,74,v.zanotelli_20190509_p173_074,,,
p173,20190214,VZBox17,0,32,3,0,3638,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,33,3,0,3657,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,34,3,0,3663,,1,1,1,1,1,3,63,0,,2,34,65,v.zanotelli_20190509_p173_065,,,
p173,20190214,VZBox17,0,35,3,0,3669,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,36,3,0,3675,,3,1,1,1,3,1,64,0,,,36,72,v.zanotelli_20190509_p173_072,,,
p173,20190214,VZBox17,0,37,3,1,3681,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,38,3,1,3687,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,1,39,3,1,3693,,2,1,1,1,2,2,65,0,,0.5,39,77,v.zanotelli_20190509_p173_077,,,
p173,20190214,VZBox17,0,40,3,1,3699,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,41,3,2,3705,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,42,3,2,3711,,,,0,0,,,,,,,,,,,,
p173,20190214,VZBox17,0,43,3,2,3717,,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,1,3,0,4322, --+,,,0,0,,15,,,,,,,,,,
p176,20190225,VZBox20,1,2,3,0,4328, +++,2,1,1,1,2,3,68,0,,,2,91,v.zanotelli_20190509_p176_091,,,
p176,20190225,VZBox20,0,3,3,0,4334, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,4,3,0,4340, ++-,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,5,3,0,4346, +-+,1,1,1,1,1,1,69,0,,2,5,82,v.zanotelli_20190509_p176_082,,,
p176,20190225,VZBox20,0,6,3,0,4352, +++,,,0,0,,,,,,,,,,,0.33,
p176,20190225,VZBox20,0,7,3,0,4358, +-+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,8,3,0,4364, +-0,1,1,1,1,1,2,70,0,,4,8,89,v.zanotelli_20190509_p176_089,,,
p176,20190225,VZBox20,0,9,3,0,4370, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,10,3,0,4376, ++-,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,11,3,0,4382, +++,1,1,1,1,1,3,71,0,,5,11,90,v.zanotelli_20190509_p176_090,,,
p176,20190225,VZBox20,0,12,3,0,4388, --+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,13,3,0,4394, +-+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,14,3,0,4400, ++-,1,1,1,1,1,1,72,0,,,14,87,v.zanotelli_20190509_p176_087,,0.25,
p176,20190225,VZBox20,0,15,3,0,4406, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,16,3,0,4412, +0+,1,1,1,1,1,2,73,0,,7,16,79,v.zanotelli_20190509_p176_079,,,
p176,20190225,VZBox20,0,17,2,,4418, ++0,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,19,3,0,4422," +,00",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,20,3,0,4428," +,00",1,1,1,1,1,3,74,0,,6.3,20,85,v.zanotelli_20190509_p176_085,,,
p176,20190225,VZBox20,0,21,3,0,4434, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,22,3,0,4440, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,23,3,0,4446," 0,++",2,1,1,1,2,1,75,0,,,23,83,v.zanotelli_20190509_p176_083,,,
p176,20190225,VZBox20,0,24,3,0,4452," -,00",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,25,3,0,4458," -,-,+",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,26,3,0,4464," -,0,0",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,27,3,0,4470," +,00",1,1,1,1,1,2,76,0,,3.25,27,78,v.zanotelli_20190509_p176_078,,,
p176,20190225,VZBox20,0,28,3,0,4476, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,29,3,0,4482," 0,++",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,30,3,0,4488, +++,1,1,1,1,1,3,77,0,,,30,86,v.zanotelli_20190509_p176_086,,0.25,
